"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.326281071E0,-1.915361285E-1,7.661445439E-2,9.805234909E0
3.327270031E0,-1.915361285E-1,1.149216816E-1,9.805234909E0
3.328293085E0,-1.915361285E-1,7.661445439E-2,9.805234909E0
3.329308033E0,-1.915361285E-1,1.149216816E-1,9.805234909E0
3.330318928E0,-1.915361285E-1,7.661445439E-2,9.805234909E0
3.331338167E0,-1.915361285E-1,1.149216816E-1,9.805234909E0
3.332320213E0,-1.149216816E-1,0.000000000E0,9.805339813E0
3.333304167E0,-1.149216816E-1,3.830722719E-2,9.805339813E0
3.334307194E0,-1.149216816E-1,0.000000000E0,9.805339813E0
3.335291147E0,-1.149216816E-1,3.830722719E-2,9.805339813E0
3.336323977E0,-1.149216816E-1,0.000000000E0,9.805339813E0
3.337327957E0,-1.149216816E-1,3.830722719E-2,9.805339813E0
3.338323116E0,-1.149216816E-1,0.000000000E0,9.805339813E0
3.339333057E0,-1.149216816E-1,3.830722719E-2,9.805339813E0
3.340309143E0,-1.149216816E-1,0.000000000E0,9.805339813E0
3.341396093E0,-1.532289088E-1,7.661445439E-2,9.805315018E0
3.342316151E0,-1.532289088E-1,1.149216816E-1,9.805315018E0
3.343291998E0,-1.532289088E-1,7.661445439E-2,9.805315018E0
3.344296217E0,-1.532289088E-1,1.149216816E-1,9.805315018E0
3.345314264E0,-1.532289088E-1,7.661445439E-2,9.805315018E0
3.346313238E0,-1.532289088E-1,1.149216816E-1,9.805315018E0
3.347355127E0,-1.532289088E-1,7.661445439E-2,9.805315018E0
3.348294020E0,-1.532289088E-1,1.149216816E-1,9.805315018E0
3.349282265E0,-1.532289088E-1,7.661445439E-2,9.805315018E0
3.350387096E0,-1.532289088E-1,1.149216816E-1,9.805315018E0
3.351365089E0,-1.532289088E-1,1.149216816E-1,9.805299759E0
3.352342129E0,-1.532289088E-1,1.532289088E-1,9.805299759E0
3.353261232E0,-1.532289088E-1,1.149216816E-1,9.805299759E0
3.354426146E0,-1.532289088E-1,1.532289088E-1,9.805299759E0
3.355284214E0,-1.532289088E-1,1.149216816E-1,9.805299759E0
3.356288195E0,-1.532289088E-1,1.532289088E-1,9.805299759E0
3.357271194E0,-1.532289088E-1,1.149216816E-1,9.805299759E0
3.358385086E0,-1.532289088E-1,1.532289088E-1,9.805299759E0
3.359282017E0,-1.532289088E-1,1.149216816E-1,9.805299759E0
3.360341072E0,-1.532289088E-1,1.532289088E-1,9.805299759E0
3.361299038E0,-1.149216816E-1,0.000000000E0,9.805395126E0
3.362324238E0,-1.149216816E-1,3.830722719E-2,9.805395126E0
3.363322020E0,-1.149216816E-1,0.000000000E0,9.805395126E0
3.364345312E0,-1.149216816E-1,3.830722719E-2,9.805395126E0
3.365307093E0,-1.149216816E-1,0.000000000E0,9.805395126E0
3.366286993E0,-1.149216816E-1,3.830722719E-2,9.805395126E0
3.367325068E0,-1.149216816E-1,0.000000000E0,9.805395126E0
3.368376255E0,-1.149216816E-1,3.830722719E-2,9.805395126E0
3.369321108E0,-1.149216816E-1,0.000000000E0,9.805395126E0
3.370335102E0,-1.149216816E-1,3.830722719E-2,9.805395126E0
3.371306181E0,-7.661445439E-2,1.149216816E-1,9.805483818E0
3.372332335E0,-7.661445439E-2,1.532289088E-1,9.805483818E0
3.373358250E0,-7.661445439E-2,1.149216816E-1,9.805483818E0
3.374316216E0,-7.661445439E-2,1.532289088E-1,9.805483818E0
3.375310183E0,-7.661445439E-2,1.149216816E-1,9.805483818E0
3.376302958E0,-7.661445439E-2,1.532289088E-1,9.805483818E0
3.377294302E0,-7.661445439E-2,1.149216816E-1,9.805483818E0
3.378297329E0,-7.661445439E-2,1.532289088E-1,9.805483818E0
3.379307270E0,-7.661445439E-2,1.149216816E-1,9.805483818E0
3.380388021E0,-7.661445439E-2,1.532289088E-1,9.805483818E0
3.381315231E0,-1.149216816E-1,7.661445439E-2,9.805483818E0
3.382351160E0,-1.149216816E-1,1.149216816E-1,9.805483818E0
3.383313179E0,-1.149216816E-1,7.661445439E-2,9.805483818E0
3.384307146E0,-1.149216816E-1,1.149216816E-1,9.805483818E0
3.385374069E0,-1.149216816E-1,7.661445439E-2,9.805483818E0
3.386320114E0,-1.149216816E-1,1.149216816E-1,9.805483818E0
3.387321949E0,-1.149216816E-1,7.661445439E-2,9.805483818E0
3.388260126E0,-1.149216816E-1,1.149216816E-1,9.805483818E0
3.389366150E0,-1.149216816E-1,7.661445439E-2,9.805483818E0
3.390358210E0,-1.149216816E-1,1.149216816E-1,9.805483818E0
3.391283035E0,-1.915361285E-1,0.000000000E0,9.805411339E0
3.392291307E0,-1.915361285E-1,3.830722719E-2,9.805411339E0
3.393342257E0,-1.915361285E-1,0.000000000E0,9.805411339E0
3.394411087E0,-1.915361285E-1,3.830722719E-2,9.805411339E0
3.395290136E0,-1.915361285E-1,0.000000000E0,9.805411339E0
3.396313190E0,-1.915361285E-1,3.830722719E-2,9.805411339E0
3.397323132E0,-1.915361285E-1,0.000000000E0,9.805411339E0
3.398319960E0,-1.915361285E-1,3.830722719E-2,9.805411339E0
3.399326086E0,-1.915361285E-1,0.000000000E0,9.805411339E0
3.400310278E0,-1.915361285E-1,3.830722719E-2,9.805411339E0
3.401311159E0,-1.149216816E-1,7.661445439E-2,9.805452347E0
3.402307987E0,-1.149216816E-1,1.149216816E-1,9.805452347E0
3.403293133E0,-1.149216816E-1,7.661445439E-2,9.805452347E0
3.404318094E0,-1.149216816E-1,1.149216816E-1,9.805452347E0
3.405287027E0,-1.149216816E-1,7.661445439E-2,9.805452347E0
3.406349182E0,-1.149216816E-1,1.149216816E-1,9.805452347E0
3.407317162E0,-1.149216816E-1,7.661445439E-2,9.805452347E0
3.408463001E0,-1.149216816E-1,1.149216816E-1,9.805452347E0
3.409313202E0,-1.149216816E-1,7.661445439E-2,9.805452347E0
3.410269022E0,-1.149216816E-1,1.149216816E-1,9.805452347E0
3.411289215E0,-1.532289088E-1,3.830722719E-2,9.805438042E0
3.412311316E0,-1.532289088E-1,7.661445439E-2,9.805438042E0
3.413311243E0,-1.532289088E-1,3.830722719E-2,9.805438042E0
3.414465189E0,-1.532289088E-1,7.661445439E-2,9.805438042E0
3.415296078E0,-1.532289088E-1,3.830722719E-2,9.805438042E0
3.416375160E0,-1.532289088E-1,7.661445439E-2,9.805438042E0
3.417279243E0,-1.532289088E-1,3.830722719E-2,9.805438042E0
3.418298006E0,-1.532289088E-1,7.661445439E-2,9.805438042E0
3.419294119E0,-1.532289088E-1,3.830722719E-2,9.805438042E0
3.420273066E0,-1.532289088E-1,7.661445439E-2,9.805438042E0
3.421281338E0,-1.149216816E-1,3.830722719E-2,9.805495262E0
3.422274351E0,-1.149216816E-1,7.661445439E-2,9.805495262E0
3.423286200E0,-1.149216816E-1,3.830722719E-2,9.805495262E0
3.424271107E0,-1.149216816E-1,7.661445439E-2,9.805495262E0
3.425271273E0,-1.149216816E-1,3.830722719E-2,9.805495262E0
3.426295280E0,-1.149216816E-1,7.661445439E-2,9.805495262E0
3.427314043E0,-1.149216816E-1,3.830722719E-2,9.805495262E0
3.428296089E0,-1.149216816E-1,7.661445439E-2,9.805495262E0
3.429305315E0,-1.149216816E-1,3.830722719E-2,9.805495262E0
3.430313110E0,-1.149216816E-1,7.661445439E-2,9.805495262E0
3.431291103E0,-1.149216816E-1,1.149216816E-1,9.805495262E0
3.432308197E0,-1.149216816E-1,7.661445439E-2,9.805495262E0
3.433548212E0,-1.149216816E-1,1.149216816E-1,9.805495262E0
3.434335232E0,-1.149216816E-1,7.661445439E-2,9.805495262E0
3.435339212E0,-1.149216816E-1,1.149216816E-1,9.805495262E0
3.436322212E0,-1.149216816E-1,7.661445439E-2,9.805495262E0
3.437294245E0,-1.149216816E-1,1.149216816E-1,9.805495262E0
3.438329935E0,-1.149216816E-1,7.661445439E-2,9.805495262E0
3.439323187E0,-1.149216816E-1,1.149216816E-1,9.805495262E0
3.440306187E0,-1.149216816E-1,7.661445439E-2,9.805489540E0
3.441342115E0,-1.149216816E-1,1.149216816E-1,9.805489540E0
3.442278147E0,-1.149216816E-1,7.661445439E-2,9.805489540E0
3.443312168E0,-1.149216816E-1,1.149216816E-1,9.805489540E0
3.444296122E0,-1.149216816E-1,7.661445439E-2,9.805489540E0
3.445298195E0,-1.149216816E-1,1.149216816E-1,9.805489540E0
3.446301222E0,-1.149216816E-1,7.661445439E-2,9.805489540E0
3.447327137E0,-1.149216816E-1,1.149216816E-1,9.805489540E0
3.448373079E0,-1.149216816E-1,7.661445439E-2,9.805489540E0
3.449331045E0,-1.149216816E-1,1.149216816E-1,9.805489540E0
3.450340033E0,-7.661445439E-2,7.661445439E-2,9.805571556E0
3.451330185E0,-7.661445439E-2,1.149216816E-1,9.805571556E0
3.452321291E0,-7.661445439E-2,7.661445439E-2,9.805571556E0
3.453286171E0,-7.661445439E-2,1.149216816E-1,9.805571556E0
3.454349279E0,-7.661445439E-2,7.661445439E-2,9.805571556E0
3.455492973E0,-7.661445439E-2,1.149216816E-1,9.805571556E0
3.456288099E0,-7.661445439E-2,7.661445439E-2,9.805571556E0
3.457317114E0,-7.661445439E-2,1.149216816E-1,9.805571556E0
3.458287954E0,-7.661445439E-2,7.661445439E-2,9.805571556E0
3.459285259E0,-7.661445439E-2,1.149216816E-1,9.805571556E0
3.460365295E0,-1.532289088E-1,3.830722719E-2,9.805550575E0
3.461293221E0,-1.532289088E-1,7.661445439E-2,9.805550575E0
3.462341070E0,-1.532289088E-1,3.830722719E-2,9.805550575E0
3.463292122E0,-1.532289088E-1,7.661445439E-2,9.805550575E0
3.464306116E0,-1.532289088E-1,3.830722719E-2,9.805550575E0
3.465300083E0,-1.532289088E-1,7.661445439E-2,9.805550575E0
3.466315269E0,-1.532289088E-1,3.830722719E-2,9.805550575E0
3.467323065E0,-1.532289088E-1,7.661445439E-2,9.805550575E0
3.468354225E0,-1.532289088E-1,3.830722719E-2,9.805550575E0
3.469274998E0,-1.532289088E-1,7.661445439E-2,9.805550575E0
3.470299006E0,-1.149216816E-1,1.149216816E-1,9.805550575E0
3.471284151E0,-1.149216816E-1,1.532289088E-1,9.805550575E0
3.472310305E0,-1.149216816E-1,1.149216816E-1,9.805550575E0
3.473311186E0,-1.149216816E-1,1.532289088E-1,9.805550575E0
3.474299192E0,-1.149216816E-1,1.149216816E-1,9.805550575E0
3.475336075E0,-1.149216816E-1,1.532289088E-1,9.805550575E0
3.476298094E0,-1.149216816E-1,1.149216816E-1,9.805550575E0
3.477286100E0,-1.149216816E-1,1.532289088E-1,9.805550575E0
3.478278160E0,-1.149216816E-1,1.149216816E-1,9.805550575E0
3.479317188E0,-1.149216816E-1,1.532289088E-1,9.805550575E0
3.480307102E0,-1.915361285E-1,1.149216816E-1,9.805422783E0
3.481341124E0,-1.915361285E-1,1.532289088E-1,9.805422783E0
3.482307196E0,-1.915361285E-1,1.149216816E-1,9.805422783E0
3.483305216E0,-1.915361285E-1,1.532289088E-1,9.805422783E0
3.484325171E0,-1.915361285E-1,1.149216816E-1,9.805422783E0
3.485324144E0,-1.915361285E-1,1.532289088E-1,9.805422783E0
3.486314297E0,-1.915361285E-1,1.149216816E-1,9.805422783E0
3.487264156E0,-1.915361285E-1,1.532289088E-1,9.805422783E0
3.488284111E0,-1.915361285E-1,1.149216816E-1,9.805422783E0
3.489315271E0,-1.915361285E-1,1.532289088E-1,9.805422783E0
3.490277052E0,-7.661445439E-2,0.000000000E0,9.805556297E0
3.491278172E0,-7.661445439E-2,3.830722719E-2,9.805556297E0
3.492266178E0,-7.661445439E-2,0.000000000E0,9.805556297E0
3.493299246E0,-7.661445439E-2,3.830722719E-2,9.805556297E0
3.494316339E0,-7.661445439E-2,0.000000000E0,9.805556297E0
3.495323181E0,-7.661445439E-2,3.830722719E-2,9.805556297E0
3.496319056E0,-7.661445439E-2,0.000000000E0,9.805556297E0
3.497316122E0,-7.661445439E-2,3.830722719E-2,9.805556297E0
3.498311043E0,-7.661445439E-2,0.000000000E0,9.805556297E0
3.499307156E0,-7.661445439E-2,3.830722719E-2,9.805556297E0
3.500345945E0,-1.149216816E-1,7.661445439E-2,9.805573463E0
3.501314163E0,-1.149216816E-1,1.149216816E-1,9.805573463E0
3.502317190E0,-1.149216816E-1,7.661445439E-2,9.805573463E0
3.503299952E0,-1.149216816E-1,1.149216816E-1,9.805573463E0
3.504294157E0,-1.149216816E-1,7.661445439E-2,9.805573463E0
3.505424976E0,-1.149216816E-1,1.149216816E-1,9.805573463E0
3.506318331E0,-1.149216816E-1,7.661445439E-2,9.805573463E0
3.507306099E0,-1.149216816E-1,1.149216816E-1,9.805573463E0
3.508516073E0,-1.149216816E-1,7.661445439E-2,9.805573463E0
3.509319067E0,-1.149216816E-1,1.149216816E-1,9.805573463E0
3.510933161E0,-7.661445439E-2,1.149216816E-1,9.805615425E0
3.511292219E0,-7.661445439E-2,1.532289088E-1,9.805615425E0
3.512322187E0,-7.661445439E-2,1.149216816E-1,9.805615425E0
3.513337374E0,-7.661445439E-2,1.532289088E-1,9.805615425E0
3.514339209E0,-7.661445439E-2,1.149216816E-1,9.805615425E0
3.515357018E0,-7.661445439E-2,1.532289088E-1,9.805615425E0
3.516296148E0,-7.661445439E-2,1.149216816E-1,9.805615425E0
3.517343283E0,-7.661445439E-2,1.532289088E-1,9.805615425E0
3.518333197E0,-7.661445439E-2,1.149216816E-1,9.805615425E0
3.519324064E0,-7.661445439E-2,1.532289088E-1,9.805615425E0
3.520349026E0,-1.915361285E-1,1.149216816E-1,9.805504799E0
3.521292210E0,-1.915361285E-1,1.532289088E-1,9.805504799E0
3.522295237E0,-1.915361285E-1,1.149216816E-1,9.805504799E0
3.523315191E0,-1.915361285E-1,1.532289088E-1,9.805504799E0
3.524363279E0,-1.915361285E-1,1.149216816E-1,9.805504799E0
3.525297165E0,-1.915361285E-1,1.532289088E-1,9.805504799E0
3.526309967E0,-1.915361285E-1,1.149216816E-1,9.805504799E0
3.527286291E0,-1.915361285E-1,1.532289088E-1,9.805504799E0
3.528279305E0,-1.915361285E-1,1.149216816E-1,9.805504799E0
3.529312134E0,-1.915361285E-1,1.532289088E-1,9.805504799E0
3.530308962E0,-1.532289088E-1,1.532289088E-1,9.805504799E0
3.531301022E0,-1.532289088E-1,1.915361285E-1,9.805504799E0
3.532306194E0,-1.532289088E-1,1.532289088E-1,9.805504799E0
3.533293247E0,-1.532289088E-1,1.915361285E-1,9.805504799E0
3.534322023E0,-1.532289088E-1,1.532289088E-1,9.805504799E0
3.535336018E0,-1.532289088E-1,1.915361285E-1,9.805504799E0
3.536334276E0,-1.532289088E-1,1.532289088E-1,9.805504799E0
3.537407160E0,-1.532289088E-1,1.915361285E-1,9.805504799E0
3.538434267E0,-1.532289088E-1,1.532289088E-1,9.805504799E0
3.539289236E0,-1.532289088E-1,1.915361285E-1,9.805504799E0
3.540280342E0,-1.149216816E-1,7.661445439E-2,9.805526733E0
